Source,Updated,Provider,Organization_Name,Location_Address,Location_Directions,Longitude,Latitude,Email,Phone,Website,Location_Services
The Gardens Network,2023,Community Garden,Arbor/McDivitt,"43.03264,-89.42119","https://www.google.com/maps/dir//43.03264,-89.42119",-89.4212,43.03264,"In Location Services, if listed","In Location Services, if listed","In Location Services, if listed","2509 McDivitt Road, on the grounds of Arbor Covenant Church.<br>This garden provides 10 plots for community gardening. For more information or to register for a community garden plot, contact Ron Heinrich at reheinrich64@gmail.com or 608-515-3288. Registration forms are available in the church building."
The Gardens Network,2023,Community Garden,Burr Oaks,"43.04059,-89.3986166","https://www.google.com/maps/dir//43.04059,-89.3986166",-89.3986,43.04059,"In Location Services, if listed","In Location Services, if listed","In Location Services, if listed","Located between Magnolia Lane and Hackberry Lane on the grounds of Lincoln Elementary School, 909 Sequoia Trail.<br>This community garden combines plot rental gardens with a school garden. For more information or to register for a community garden plot, contact Miguel at 608 257 2756.<br><br>Este huerto comunitario combina parcelas de huerto con un jardín escolar. Para obtener más información o para registrarse a el huerto comunitario, comuníquese con Miguel a 608 257 2756."
The Gardens Network,2023,Community Garden,Quann,"43.04593,-89.3885314","https://www.google.com/maps/dir//43.04593,-89.3885314",-89.3885,43.04593,"In Location Services, if listed","In Location Services, if listed","In Location Services, if listed","Located at the intersection of Bram and Koster Streets (behind the Alliant Energy Center Coliseum on the south edge of Quann Park, where the bike path meets Bram Street).<br>quanngardens.org<br>This is a large, no-till, organic garden that includes 140 plots at least 20’x20 in size, as well as the Jessica Bullen Memorial Orchard and Quiet Garden. For more information or to register for a community garden plot, visit the Contact section of the website. Contact Anne Perrote at (608) 251-3115 or at asperrote3@juno.com. <br><br>Ubicado en la intersección de las calles Bram y Koster (detrás del Alliant Energy Center Coliseum en el borde sur de Quann Park, donde el carril bici se encuentra con la calle Bram).<br>quanngardens.org<br>Este es un gran huerto orgánico sin labranza que incluye 140 parcelas de al menos 20’x20 de tamaño, así como el de Jessica Bullen Memorial Orchard y Quiet Garden. Para obtener más información o para registrarse a un huerto comunitario, visite la sección Contacto del sitio web. Póngase en contacto con Anne Perrote al (608) 251-3115 o en asperrote3@juno.com. Para obtener información en español, contacte a Oscar en orodriguez@madison.k12.wi.us."
The Gardens Network,2023,Community Garden,Rimrock/Green Gardens,"43.02798,-89.3818205","https://www.google.com/maps/dir//43.02798,-89.3818205",-89.3818,43.02798,"In Location Services, if listed","In Location Services, if listed","In Location Services, if listed","300 block of Englehart Drive, west of Artesian Lane.<br><br>This garden is a LARGE PLOT ONLY garden (1600-4800 sf) due to limited water/ other services. Individual small plots are NOT available at this time. Only those who can manage larger areas should apply. For more information or to register for a community garden plot, contact Joe at joe.mathers.47@gmail.com.<br><br>Este huerto es un huerto SOLO DE GRAN PARCELA (1600-4800 pies cuadrados) debido a la limitación de agua / otros servicios. Las pequeñas parcelas individuales no están disponibles en este momento. Solo aquellos que pueden manejar áreas más grandes deben aplicar. Para obtener más información o para inscribirse en una parcela comunitaria, contacte a Joe en joe.mathers.47@gmail.com."
The Gardens Network,2023,Community Garden,Moorland,"43.03267,-89.3650246","https://www.google.com/maps/dir//43.03267,-89.3650246",-89.365,43.03267,"In Location Services, if listed","In Location Services, if listed","In Location Services, if listed","https://moorlandgarden.wixsite.com/moorlandgardens<br>1133 Moorland Road, just east of Wayland Road, behind the Water Utility Building.<br>This large garden has 150 plots of no-till gardening space. For more information or to register for a community garden plot, contact moorlandcommunitygarden@gmail.com or (608)622-7410.<br><br>Este huerto grande tiene 150 parcelas de espacio de jardinería sin labranza. Para obtener más información o para registrarse a el huerto comunitario, comuníquese al moorlandcommunitygarden@gmail.com o por (608)622-7410."
The Gardens Network,2023,Community Garden,Leopold Park,"43.02719,-89.4198275","https://www.google.com/maps/dir//43.02719,-89.4198275",-89.4198,43.02719,"In Location Services, if listed","In Location Services, if listed","In Location Services, if listed","Located along the 2900 block of Traceway Drive behind the large mural and to the right of the children’s play area.<br>The garden has 44 plots with 7 raised beds and a children’s plot. For more information or to register, please email registrar.leopoldparkgardens@gmail.com"
The Gardens Network,2023,Community Garden,Bridge-Lakepoint-Waunona,"43.0488,-89.353931","https://www.google.com/maps/dir//43.0488,-89.353931",-89.3539,43.0488,"In Location Services, if listed","In Location Services, if listed","In Location Services, if listed","5000 block of Raywood Road, in Waunona Park, next to the tennis court.<br>This community garden provides 30 plots of gardening space in Waunona Park. For more information or to register for a community garden plot, contact Molly Grupe and Dan Grupe at BLWGarden@gmail.com or (507) 358-2435.<br><br>5000 cuadras de Raywood Road, en Waunona Park, junto a la cancha de tenis.<br>Este huerto comunitario ofrece 30 parcelas de espacio de jardinería en Waunona Park. Para obtener más información o para registrarse a un jardín comunitario, comuníquese con Molly Grupe y Dan Grupe en BLWGarden@gmail.com o al (507) 358-2435."
The Gardens Network,2023,Community Garden,Saint Paul,"43.10042,-89.3360567","https://www.google.com/maps/dir//43.10042,-89.3360567",-89.3361,43.10042,"In Location Services, if listed","In Location Services, if listed","In Location Services, if listed","3000 through 3200 blocks of Saint Paul Avenue, along railroad tracks, off Milwaukee Street.<br>This is an organic garden with over 70 garden plots. For more information contact the garden coordinator at stpaulcommunitygarden@gmail.com. To register for a community garden plot, contact the registrar at andreaxnelson@yahoo.com or 608-712-2020. Este es un huerto orgánico con más de 70 parcelas de jardín. Para obtener más información, comuníquese con el coordinador de huertos en stpaulcommunitygarden@gmail.com. Para registrarse a un jardín comunitario, comuníquese con el registrador a andreaxnelson@yahoo.com o al 608-712-2020."
The Gardens Network,2023,Community Garden,McCormick,"43.10841,-89.3411422","https://www.google.com/maps/dir//43.10841,-89.3411422",-89.3411,43.10841,"In Location Services, if listed","In Location Services, if listed","In Location Services, if listed","Located at 702 McCormick Avenue, where McCormick dead-ends into Aberg Avenue.<br>McCormick garden that began in 2010. Contact the coordinator Mitch Moline at molinm@gmail.com or (608) 215-3465 Ubicado en 702 McCormick Avenue, donde McCormick termina en Aberg Avenue.<br>El jardín McCormick comenzó en el año de 2010. Comuníquese con el coordinador Mitch Moline en molinm@gmail.com o al (608) 215-3465"
The Gardens Network,2023,Community Garden,Atwood,"43.09393,-89.3476439","https://www.google.com/maps/dir//43.09393,-89.3476439",-89.3476,43.09393,"In Location Services, if listed","In Location Services, if listed","In Location Services, if listed","North of Atwood Avenue, along the Isthmus bike path.<br>One of Madison’s oldest community gardens, this garden has 110 garden plots and offers youth programming for the Goodman Community Center. For more information or to be added to the waiting list for a garden plot please send an email to atwoodgarden@gmail.com. If requesting to be placed on the waiting list, please include your full name, address and phone number in the email. Este huerto es uno de los jardines comunitarios más antiguos de Madison, cuenta con 110 parcelas de jardín y ofrece programas para jóvenes para el Centro Comunitario de Goodman. Para obtener más información o para agregarse a la lista de espera para una parcela de jardín, envíe un correo electrónico a atwoodgarden@gmail.com. Si solicita ser incluido en la lista de espera, incluya su nombre completo, dirección y número de teléfono en el correo electrónico."
The Gardens Network,2023,Community Garden,East High Goodman Youth Grow Local Farm,"43.09605,-89.2960596","https://www.google.com/maps/dir//43.09605,-89.2960596",-89.2961,43.09605,"In Location Services, if listed","In Location Services, if listed","In Location Services, if listed","5017 Sudbury Way<br>The Goodman Youth Grow Local Farm engages a diverse population of elementary, middle and high school students in hands-on, farm-based education in an outdoor classroom. Youth are actively involved in the entire process of running a small-scale organic farm – from raising seedlings in the East High greenhouse to harvesting produce at the Youth Farm on Madison’s east side. Most of the produce is eaten by the students, or donated to the Goodman Community Center’s food pantry. We also have ten community garden plots on the Youth Farm site, where neighbors and other community members grow food for their families and friends. Our community gardeners range in age from 5 to 86! Contact Travus at travus@rootedwi.org about plot information.<br><br>Goodman Youth Grow Local Farm conciste de una población diversa de estudiantes de escuelas primarias, intermedias y secundarias en una educación práctica basada en granjas en un aula al aire libre. Los jóvenes participan activamente en todo el proceso de mantener una granja orgánica pequeña, desde la plantación de plántulas en el invernadero East High hasta la recolección de productos agrícolas en la Granja Juvenil en el lado este de Madison. La mayoría de los productos son consumidos por los estudiantes o donados a la despensa de alimentos de Goodman Community Center. También tenemos diez parcelas de huertos comunitarios en el sitio de Youth Farm, donde los vecinos y otros miembros de la comunidad cultivan alimentos para sus familiares y amigos. Nuestros jardineros comunitarios tienen edades entre 5 a 86 años Comuníquese con Jennica Skoug al travus@rootedwi.org por informacion de parcelas."
The Gardens Network,2023,Community Garden,Eastmorland,"43.09127,-89.3272644","https://www.google.com/maps/dir//43.09127,-89.3272644",-89.3273,43.09127,"In Location Services, if listed","In Location Services, if listed","In Location Services, if listed","3501 Hargrove Street (SE corner of Hargrove and Walter Streets).<br>This small garden has 19 20’x20’ plots which may be leased as full or half (10’x20’) plots as space and interest allows. For more information, or to register for a community garden plot, email eastmorlandgardensregistrar@gmail.com. Este pequeño huerto tiene 19 parcelas de 20 x 20 ""que se pueden alquilar como parcelas completas o medias (10"" x 20 "") dependiendo de el espacio y el interés. Para obtener más información, o para registrarse a una parcela comunitaria, envíe un correo electrónico a eastmorlandgardensregistrar@gmail.com."
The Gardens Network,2023,Community Garden,Allis Elementary,"43.0771,-89.3214226","https://www.google.com/maps/dir//43.0771,-89.3214226",-89.3214,43.0771,"In Location Services, if listed","In Location Services, if listed","In Location Services, if listed","Allis School Heritage Garden<br>Located on 4201 Buckeye Road, Madison, WI 53716<br>This garden is on school ground. There are 14 plots, most of the plots are 10 x 20 but there are a some 10 x 10 plots as well. To learn more, please contact Carol Troyer-Shank at ctshank2gm@gmail.com or (608)469-2678. Este huerto está en la propiedad de la escuela. Hay 14 parcelas, la mayoría de las parcelas son 10 x 20, pero también hay algunas parcelas 10 x 10. Para obtener más información, comuníquese con Carol Troyer-Shank en ctshank2gm@gmail.com o al (608) 469-2678."
The Gardens Network,2023,Community Garden,Door Creek Community Garden,"43.08453,-89.2661905","https://www.google.com/maps/dir//43.08453,-89.2661905",-89.2662,43.08453,"In Location Services, if listed","In Location Services, if listed","In Location Services, if listed","Near the corner of Sprecher and Cottage Grove Road. Approx. address: 4374 Sprecher Road<br>This garden has 14 approx. 15 x 20 plots and a $10 annual fee. Composted horse manure, gooseberries, mulberries, and rhubarb are available on site for garden members. Organic methods only (no herbicides allowed), no water access. To learn more, contact Emily Steinwehe at esteinwehe@gmail.com or (608) 609-9320. Este huerto tiene 14 aprox. 15 x 20 parcelas y una cuota anual de $ 10. El abono de caballo, las grosellas, las moras y el ruibarbo están disponibles para los miembros del jardín. Solo métodos orgánicos (no se permiten herbicidas), no hay acceso al agua. Para obtener más información, comuníquese con Emily Steinwehe en esteinwehe@gmail.com o al (608) 609-9320."
The Gardens Network,2023,Community Garden,Elvehjem,"43.08155,-89.2932272","https://www.google.com/maps/dir//43.08155,-89.2932272",-89.2932,43.08155,"In Location Services, if listed","In Location Services, if listed","In Location Services, if listed","1202 Painted Post Drive, in Elvehjem Park.<br>A no-till, organic garden established in 2013 serving the Elvehjem Neighborhood and nearby area with 28 plots. The garden also has 4 galvanized steel trough raised bed gardens available for accessible gardening. Contact Chris Brockel at garden@elvehjemneighborhood.org for more information. Un huerto orgánico sin labranza fue establecido en el año 2013 el cual le proviene servicios al vecindario Elvehjem y al área cercana con 28 parcelas. El huerto también cuenta con 4 huertos de lechos elevados de acero galvanizado para jardinería accesible. Póngase en contacto con Chris Brockel en garden@elvehjemneighborhood.org para obtener más información."
The Gardens Network,2023,Community Garden,Monona: Pheasant Hill,"43.05791,-89.33007","https://www.google.com/maps/dir//43.05791,-89.33007",-89.3301,43.05791,"In Location Services, if listed","In Location Services, if listed","In Location Services, if listed","5700 Pheasant Hill Road in Monona.<br>This church-based community garden has 29 plots dedicated to community gardening as well as food pantry gardening. For more information or to register for a community garden plot, contact pheasanthillgardens@gmail.com or (608) 225-6088. Este huerto comunitario departe de la iglesia tiene 29 parcelas dedicadas a la jardinería comunitaria, al igual que una despensa de alimentos. Para obtener más información o para registrarse a una parcela comunitaria, contacte a pheasanthillgardens@gmail.com o al (608) 225-6088."
The Gardens Network,2023,Community Garden,Monona United Methodist Church,"43.06168,-89.3341148","https://www.google.com/maps/dir//43.06168,-89.3341148",-89.3341,43.06168,"In Location Services, if listed","In Location Services, if listed","In Location Services, if listed","606 Nichols Road in Monona.<br>This church-based garden serves as a small community garden as well as a food pantry garden. For more information, or to register for a community garden plot, contact Karelyn Hopkins at khopkins@uwhealth.org or (608) 577-3185. Este huerto de la iglesia sirve como un pequeño jardín comunitario, cual tambien es un huerto de despensa de alimentos. Para obtener más información, o para registrarse a un huerto comunitario, comuníquese con Karelyn Hopkins en khopkins@uwhealth.org o al (608) 577-3185."
The Gardens Network,2023,Community Garden,Eagle Heights,"43.08692,-89.4331956","https://www.google.com/maps/dir//43.08692,-89.4331956",-89.4332,43.08692,"In Location Services, if listed","In Location Services, if listed","In Location Services, if listed","At the intersection of Eagle Heights Drive and Lake Mendota Drive.<br>eagleheightsgardens.org<br>This garden is one of the largest and oldest community gardens in Madison with 535 plots. For more information or to register for a plot, please visit the website, contact the registrar at ehgardens@rso.wisc.edu, or pick up an application from the Eagle Heights Community Center.<br><br> Este huerto es uno de los más grandes y viejos de los huertos comunitarios de Madison, con 535 parcelas. Para más información o para inscribirse para una parcela, contacte al organizador por ehgardens@rso.wisc.edu o obtenga una aplicación en el Eagle Heights Community Center."
The Gardens Network,2023,Community Garden,University Housing,"43.08299,-89.4438922","https://www.google.com/maps/dir//43.08299,-89.4438922",-89.4439,43.08299,"In Location Services, if listed","In Location Services, if listed","In Location Services, if listed","http://eagleheightsgardens.org/gardens/university-houses-gardens-map/<br>At the end of Haight Road<br>For more information or to register for a plot, please visit the website, contact the registrar at ehgardens@rso.wisc.edu, or pick up an application from the Eagle Heights Community Center.<br><br>Para obtener más información o para registrarse para una parcela, visite el sitio web, comuníquese con el registro en ehgardens@rso.wisc.edu, o obtenga una solicitud del Eagle Heights Community Center."
The Gardens Network,2023,Community Garden,Sheboygan Community Garden,"43.07027,-89.4620776","https://www.google.com/maps/dir//43.07027,-89.4620776",-89.4621,43.07027,"In Location Services, if listed","In Location Services, if listed","In Location Services, if listed","Located in Rennebohm Park. <br>This community garden in Rennebohm Park relocated from its original site along Sheboygan Avenue in 2017. The garden has 127 small plots (under 100 square feet) and 3 raised beds that primarily serve neighbors within a half-mile of the park. For more information and to join the wait list, please contact Jim at coordinator@sheboygancommunitygarden.org or LeAnn at registration@sheboygancommunitygarden.org.<br><br>El huerto comunitario en Rennebohm Park se trasladó de su sitio original en 2017. El huerto tiene 127 parcelas pequeñas (de menos de 100 pies cuadrados) y 3 camas elevadas que sirven principalmente a los vecinos dentro de una media milla del parque. Para obtener más información y para inscribirse a la lista de espera, póngase en contacto con Jim en coordinator@sheboygancommunitygarden.org o LeAnn en registration@sheboygancommunitygarden.org."
The Gardens Network,2023,Community Garden,Midvale School and Community Garden,"43.0581,-89.4500935","https://www.google.com/maps/dir//43.0581,-89.4500935",-89.4501,43.0581,"In Location Services, if listed","In Location Services, if listed","In Location Services, if listed","502 Caromar Drive.<br>midvalecommunitygarden.org<br>This combination garden offers 43 plots for the community, each about 100 sq. ft., as well as a large children’s garden for the students of Midvale Elementary. For more information or to register for a community garden plot, contact the garden registrar at midvalecommunitygarden@gmail.com.<br><br>Esta combinación de huertos ofrece 43 parcelas para la comunidad, cada una siendo de aproximadamente 100 pies cuadrados, al igual que un gran jardín para niños para los alumnos de la Primaria Midvale. Para obtener más información o para registrarse a un jardín comunitario, comuníquese con el registrador de huertos en midvalecommunitygarden@gmail.com."
The Gardens Network,2023,Community Garden,Meadowood Baptist Church,"43.02149,-89.4888139","https://www.google.com/maps/dir//43.02149,-89.4888139",-89.4888,43.02149,"In Location Services, if listed","In Location Services, if listed","In Location Services, if listed","2817 Prairie Road, on the grounds of Meadowood Baptist Church.<br>Founded in 2010, this garden includes 14 plot rental gardens. Gardeners are encouraged to donate a portion of their harvest to a food pantry of their choice. For more information or to register for a community garden plot, contact Nancy and Liz Howard at nancy.howard67@yahoo.com or 608.273.3686. <br><br>Fundado en 2010, este huerto incluye 14 parcelas para alquilar. Sugerimos que los jardineros donan una porción de su cosecha a una organización sin fines de lucro. Para más información or para registrarse para una parcela, contacte a Nancy o Liz Howard por nancy.howard67@yahoo.com o 608.273.3686."
The Gardens Network,2023,Community Garden,Meadowood Park,"43.02941,-89.48066","https://www.google.com/maps/dir//43.02941,-89.48066",-89.4807,43.02941,"In Location Services, if listed","In Location Services, if listed","In Location Services, if listed","At the corner of Leland Drive and Thrush Lane in Meadowood Park.<br><br>Registration in the garden in 2022 on April 16, 11 AM-12 PM. <br><br>Founded in 2008, Meadowood Community Garden has 28 plots and an established, volunteer-led, kids’ garden. Interested in leasing a plot? Contact the coordinator at meadowoodgarden@gmail.com.<br><br>Fundado en 2008, Meadowood Community Garden tiene 28 parcelas y una huertito para niños organizados por voluntarios. Pónganse en contacto con meadowoodgarden@gmail.com para alquilar una parcela."
The Gardens Network,2023,Community Garden,Old Sauk,"43.07629,-89.506731","https://www.google.com/maps/dir//43.07629,-89.506731",-89.5067,43.07629,"In Location Services, if listed","In Location Services, if listed","In Location Services, if listed","East of 700 block of North Westfield Road, 150 feet south of Harvest Hill Road.<br>This garden is located on grounds of Madison Christian Community Church, a partnership of Community of Hope UCC and Advent Lutheran Churches. This garden serves over 50 families as well as a vibrant youth gardening program in collaboration with the Lussier Community Education Center at Wexford Ridge. For more information or to register for a community garden plot, contact Jean Einerson at 608-628-1801 or oldsaukgardens@gmail.com.<br><br>Al este del bloque 700 de North Westfield Road, al sur de Harvest Hill Road. <br>Este huerto está ubicado en el propiedad de Madison Christian Community Church, una asociación de Community of Hope UCC y Advent Lutheran Churches. Este huerto sirve a más de 50 familias, así como a un vibrante programa de jardinería para jóvenes en colaboración con el Centro de Educación Comunitaria Lussier en Wexford Ridge. Para obtener más información o para registrarse en un jardín comunitario, comuníquese con Jean Einerson al 608-628-1801 o oldsaukgardens@gmail.com."
The Gardens Network,2023,Community Garden,Orchard Ridge UCC Vegetable Village,"43.03656,-89.4728386","https://www.google.com/maps/dir//43.03656,-89.4728386",-89.4728,43.03656,"In Location Services, if listed","In Location Services, if listed","In Location Services, if listed","1501 Gilbert Road.<br>This garden was established in 2009. In addition to 13 individual plots, gardeners also tend a large pantry plot with harvested food going to the Good Shepard Food Pantry that is located 3-4 blocks away. For more information, contact LuAnn Greiner at greinerlu@gmail.com.<br><br>Este huerto se estableció en 2009. Además de 13 parcelas individuales, los jardineros también atienden una parcela grande con alimentos cosechados que van a la despensa de alimentos Good Shepard, que se encuentra cerquita al huerto. Para obtener más información, póngase en contacto con LuAnn Greiner por greinerlu@gmail.com."
The Gardens Network,2023,Community Garden,Prairie Hill,"43.03341,-89.4919038","https://www.google.com/maps/dir//43.03341,-89.4919038",-89.4919,43.03341,"In Location Services, if listed","In Location Services, if listed","In Location Services, if listed","Located in Lucy-Lincoln Heistand Park, north of Raymond Road, east of Frisch Road and west of Prairie Road.<br>This large community garden offers 65 plots for gardening. For more information or to register for a community garden plot, contact Sarah Kirk. Her email is kirkysarah@yahoo.com and her phone number is 608-628-4177.<br><br>Situado en el parque Lucy-Lincoln Heistand Park, al norte de la calle Raymond Road, al este de la calle Frisch Road y al oeste de la calle Prairie Road.<br>Este huerto comunitario ofrece 65 parcelas. Para obtener más información o para registrarse para una parcela, comuníquese con Sarah Kirk. Su correo electrónico es kirkysarah@yahoo.com y su número de teléfono es 608-628-4177."
